"","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES","CLOSE_DEF_DIST"
"314",11.9,1,3.5,"made",5.3,1,2,1,1.6
"315",9.4,2,6,"missed",3.5,1,2,2,2.6
"316",14.3,3,2.7,"made",4.1,1,2,1,2.8
"317",8.9,4,2.2,"made",0,1,2,0,3.2
"318",10.6,5,8.1,"made",6.2,1,2,3,3.3
"319",13,6,2.1,"made",3.4,1,2,1,2.7
"320",7.9,7,4.2,"made",5.2,1,2,1,0.2
"321",8.5,8,3.8,"missed",6.7,2,2,5,0.6
"322",12.5,9,2.4,"made",4.3,2,2,5,0.7
"323",11.2,10,2,"missed",0,2,2,0,1.8
"324",9.6,11,3.2,"made",0.8,3,2,0,2.1
"325",4,12,4.6,"made",8.4,3,2,8,1.1
"326",5.3,13,6.1,"missed",5.3,3,2,3,3.3
"327",8.5,14,2,"missed",3.6,4,2,2,0.7
"328",10,15,4.1,"missed",4.2,4,2,2,0.5
"329",24,16,1,"made",0.1,4,2,0,0.1
"330",8.4,1,6.6,"made",4.8,1,2,1,0.2
"331",24,2,4.1,"made",0.3,2,2,0,3.2
"332",14.7,3,6.6,"missed",3.1,2,2,1,2.6
"333",21,4,2.5,"made",1.9,2,2,1,13.4
"334",3.6,5,7.3,"missed",5.2,2,2,2,0
