"","GAME_CLOCK","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES"
"484",05:27:00,11.8,15,11.5,"missed",6.1,3,2,3
"485",05:15:00,13.7,16,11.5,"missed",8.2,3,2,3
"486",03:05:00,11.6,17,7.1,"missed",12.9,3,2,14
"487",07:04:00,17.9,18,7.3,"missed",6.8,4,2,7
"488",05:57:00,12.9,19,24.9,"made",1.1,4,3,0
"489",10:36:00,5.1,1,19,"made",6.2,1,2,0
"490",09:40:00,17,2,1.6,"made",4.7,1,2,4
"491",08:25:00,5.8,3,18.4,"missed",7.8,1,2,1
"492",05:44:00,5,4,11,"missed",2.7,1,2,2
"493",04:00:00,8.2,5,16.5,"made",6.9,1,2,2
"494",02:35:00,22,6,25.2,"missed",1.1,1,3,0
"495",06:07:00,9.3,7,6,"missed",2.9,2,2,2
"496",05:34:00,14.8,8,1.7,"missed",0.6,2,2,0
"497",01:34:00,12,9,1.7,"made",0.6,2,2,0
"498",00:01:00,NA,10,28.1,"missed",3.9,2,3,5
"499",05:47:00,5,11,24.8,"missed",5.8,3,3,4
"500",04:41:00,21.5,12,3.4,"made",3.3,3,2,1
"501",09:18:00,8,13,25.1,"missed",10.9,4,3,8
"502",09:00:00,21.4,14,5.2,"made",2.5,4,2,2
"503",07:22:00,13.4,15,17.5,"made",3.4,4,2,3
"504",04:37:00,9,16,6.8,"made",14.7,4,2,16
"505",03:31:00,12.5,17,14.4,"made",11.1,4,2,11
"506",02:48:00,3.8,18,7.6,"missed",20.9,4,2,23
"507",01:37:00,2.5,19,27.1,"missed",2.3,4,3,0
"508",00:41:00,6.3,20,2.5,"made",17.8,4,2,15
"509",06:21:00,20,1,2.3,"made",3.3,1,2,1
"510",03:04:00,15.9,2,7.5,"missed",6.6,1,2,7
"511",01:52:00,16.1,3,11.8,"made",7.6,1,2,7
"512",00:45:00,13,4,13,"missed",4.6,1,2,3
"513",06:40:00,4.2,5,23.2,"made",3.6,2,3,0
"514",05:23:00,12.6,6,6,"missed",9.9,2,2,10
"515",05:08:00,20.2,7,1.4,"made",1.2,2,2,0
"516",04:39:00,15.5,8,3.6,"missed",8.1,2,2,10
"517",03:04:00,14.3,9,5.3,"made",8.1,2,2,9
"518",00:50:00,7,10,25,"made",17.2,2,3,22
"519",00:10:00,2.7,11,23.9,"missed",15.8,2,3,16
"520",11:14:00,1.9,12,21.5,"missed",2.6,3,2,0
"521",06:40:00,12.1,13,25.6,"made",12.6,3,3,13
"522",01:36:00,16.1,14,29.1,"made",1.3,3,3,0
"523",00:41:00,18.1,15,30.3,"missed",4.4,3,3,4
"524",11:25:00,12.6,16,24.4,"missed",9.9,4,3,12
"525",09:40:00,9,1,18.6,"missed",4.5,1,2,1
"526",06:05:00,12.5,2,24.5,"made",2,1,3,1
